V_String1,I_String1,V_String2,I_String2,V_String3,I_String3,V_String4,I_String4,V_String5,I_String5,V_String6,I_String6,V_String7,I_String7,V_String8,I_String8
200,8.52,200,8.36,200,8.58,200,8.42,200,8.54,200,8.3,200,8.67,200,8.35
203.9,8.44,203.9,8.28,203.9,8.5,203.9,8.34,203.9,8.46,203.9,8.22,203.9,8.59,203.9,8.27
207.8,8.35,207.8,8.19,207.8,8.41,207.8,8.25,207.9,8.37,207.9,8.13,207.8,8.5,207.8,8.18
211.8,8.26,211.8,8.11,211.7,8.32,211.7,8.17,211.9,8.28,211.9,8.05,211.7,8.41,211.7,8.1
215.7,8.17,215.7,8.02,215.6,8.23,215.6,8.08,215.9,8.19,215.9,7.96,215.7,8.32,215.7,8.01
219.7,8.08,219.7,7.93,219.5,8.14,219.5,7.99,219.8,8.1,219.8,7.87,219.6,8.23,219.6,7.92
223.6,7.99,223.6,7.84,223.4,8.05,223.4,7.9,223.8,8.01,223.8,7.78,223.5,8.13,223.5,7.83
227.6,7.9,227.6,7.75,227.3,7.95,227.3,7.8,227.8,7.92,227.8,7.69,227.4,8.03,227.4,7.74
231.5,7.8,231.5,7.65,231.2,7.85,231.2,7.71,231.8,7.82,231.8,7.6,231.4,7.94,231.4,7.64
235.4,7.7,235.4,7.56,235.2,7.76,235.2,7.61,235.7,7.72,235.7,7.5,235.3,7.84,235.3,7.55
239.4,7.6,239.4,7.46,239.1,7.66,239.1,7.51,239.7,7.62,239.7,7.41,239.2,7.74,239.2,7.45
243.3,7.5,243.3,7.36,243,7.55,243,7.41,243.7,7.52,243.7,7.31,243.2,7.63,243.2,7.35
247.3,7.4,247.3,7.26,246.9,7.45,246.9,7.31,247.7,7.42,247.7,7.21,247.1,7.53,247.1,7.25
251.2,7.3,251.2,7.16,250.8,7.35,250.8,7.21,251.6,7.32,251.6,7.11,251,7.42,251,7.15
255.2,7.19,255.2,7.06,254.7,7.24,254.7,7.1,255.6,7.21,255.6,7.01,254.9,7.32,254.9,7.05
259.1,7.08,259.1,6.95,258.6,7.13,258.6,7,259.6,7.1,259.6,6.9,258.9,7.21,258.9,6.94
263,6.97,263,6.84,262.5,7.02,262.5,6.89,263.6,6.99,263.6,6.8,262.8,7.1,262.8,6.83
267,6.86,267,6.73,266.4,6.91,266.4,6.78,267.5,6.88,267.5,6.69,266.7,6.98,266.7,6.73
270.9,6.75,270.9,6.62,270.4,6.8,270.4,6.67,271.5,6.77,271.5,6.58,270.6,6.87,270.6,6.62
274.9,6.64,274.9,6.51,274.3,6.68,274.3,6.56,275.5,6.66,275.5,6.47,274.6,6.75,274.6,6.5
278.8,6.52,278.8,6.4,278.2,6.57,278.2,6.44,279.5,6.54,279.5,6.36,278.5,6.64,278.5,6.39
282.8,6.4,282.8,6.28,282.1,6.45,282.1,6.33,283.4,6.42,283.4,6.24,282.4,6.52,282.4,6.28
286.7,6.29,286.7,6.17,286,6.33,286,6.21,287.4,6.3,287.4,6.13,286.4,6.4,286.4,6.16
290.6,6.17,290.6,6.05,289.9,6.21,289.9,6.09,291.4,6.18,291.4,6.01,290.3,6.27,290.3,6.04
294.6,6.04,294.6,5.93,293.8,6.08,293.8,5.97,295.4,6.06,295.4,5.89,294.2,6.15,294.2,5.92
298.5,5.92,298.5,5.81,297.7,5.96,297.7,5.85,299.3,5.94,299.3,5.77,298.1,6.02,298.1,5.8
302.5,5.79,302.5,5.69,301.7,5.83,301.7,5.72,303.3,5.81,303.3,5.65,302.1,5.89,302.1,5.68
